City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Atuona,PF,77.4,clear sky,-9.8,-139.0333,Villa Enata
1,Hilo,US,81.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
3,Babu,CN,92.17,clear sky,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
5,Wilmington,US,82.31,scattered clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
8,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
9,Butaritari,KI,81.7,broken clouds,3.0707,172.7902,Isles Sunset Lodge
12,Madison,US,81.57,scattered clouds,34.7334,-86.5667,Embassy Suites by Hilton Huntsville
13,Bengkulu,ID,84.09,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
14,Pierre,US,83.86,clear sky,44.3683,-100.351,Ramkota Hotel
16,Kheri,IN,85.01,overcast clouds,27.9,80.8,Hotel Landmark Royale & Funn Mall Lakhimpur Kheri
19,Puerto Escondido,MX,83.23,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
30,Jackson,US,87.67,clear sky,42.4165,-122.8345,Agate Village Apartments
33,Freeport,US,89.58,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
35,Ibra,OM,83.34,scattered clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
40,Ust-Kut,RU,75.25,overcast clouds,56.7938,105.7672,Otel Flagman
43,Houston,US,88.38,scattered clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
50,Cedar City,US,82.4,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
52,Ca Mau,VN,89.24,scattered clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
57,Banda Aceh,ID,87.28,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
58,Mantua,IT,78.04,clear sky,45.1667,10.7833,Hotel la Favorita
59,Tam Ky,VN,88.18,few clouds,15.5667,108.4833,Nhà Nghỉ Phương Hòa
62,Huilong,CN,86.83,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
63,Gizo,SB,84.25,overcast clouds,-8.103,156.8419,Imagination Island
66,Palenque,MX,75.65,broken clouds,17.5167,-91.9667,Hotel Chablis Palenque
68,Yuanping,CN,78.4,overcast clouds,38.7153,112.7575,Yuanping Xinghe Guesthouse
72,Belle Fourche,US,77.34,clear sky,44.6714,-103.8522,Super 8 by Wyndham Belle Fourche SD
77,Saint Anthony,US,76.78,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
79,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
84,Dwarka,IN,82.76,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
85,Zaysan,KZ,84.36,broken clouds,47.4667,84.8667,Ерлан үй
90,Kapaa,US,85.98,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
94,Kahului,US,84.22,clear sky,20.8947,-156.47,Maui Seaside Hotel
96,Kapatan,PH,82.98,broken clouds,5.9006,125.2375,Hacienda Don Juan
98,Khandyga,RU,84.78,overcast clouds,62.6667,135.6,Apel'sin
99,Kieta,PG,84.29,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
101,Itanagar,IN,76.05,overcast clouds,27.1,93.6167,Hotel Moomsie Itanagar
103,Bubaque,GW,78.42,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
104,Nouadhibou,MR,75.18,clear sky,20.931,-17.0347,El Medina
105,Aransas Pass,US,86.02,clear sky,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
111,Kroya,ID,80.94,overcast clouds,-7.6331,109.2461,Devina kost & Homestay Kroya
112,Yatou,CN,80.51,scattered clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
114,Xichang,CN,77.05,overcast clouds,27.8964,102.2634,Xichang ibis Hotel
126,Lincoln,US,82.31,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
128,Puerto Del Rosario,ES,76.75,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
132,Georgetown,MY,89.55,few clouds,5.4112,100.3354,Cititel Penang
134,Si Racha,TH,89.29,overcast clouds,13.1737,100.9311,Cape Racha Hotel & Serviced Apartments
135,Ouidah,BJ,76.86,overcast clouds,6.3631,2.0851,Le Jardin Secret Ouidah
136,Suzhou,CN,91.8,few clouds,31.3114,120.6181,Holiday Inn Jasmine Suzhou
138,Bethel,US,81.48,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
139,Fayetteville,US,81.12,clear sky,35.0527,-78.8784,American Eagle Inn
142,Wanning,CN,86.94,few clouds,18.8003,110.3967,Paradise Hotel
144,Karratha,AU,79.38,clear sky,-20.7377,116.8463,ibis Styles Karratha
145,Meulaboh,ID,86.36,broken clouds,4.1363,96.1285,Kost Pria
147,Nador,MA,77.25,clear sky,35.174,-2.9287,Hôtel La Giralda
148,Ahuimanu,US,83.91,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
152,Galesong,ID,84.22,scattered clouds,-5.3166,119.3661,Sapriadi Appy
156,Singaraja,ID,83.88,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
160,Lorengau,PG,85.01,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
167,Faanui,PF,77.34,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
172,Katsuura,JP,80.62,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
179,Hithadhoo,MV,77.63,light rain,-0.6,73.0833,Scoop Guest House
180,Forest Grove,US,79.18,clear sky,45.5198,-123.1107,McMenamins Grand Lodge
185,Olovyannaya,RU,85.41,broken clouds,50.95,115.5667,Gostinitsa
186,Itaituba,BR,77.83,overcast clouds,-4.2761,-55.9836,Hotel Campos
194,Bandarbeyla,SO,78.55,scattered clouds,9.4942,50.8122,JABIR HOTEL
197,Kavieng,PG,82.53,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
198,Porbandar,IN,81.97,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
