City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Atuona,PF,-9.8,-139.0333,77.4,70,1,13.94,clear sky
1,Hilo,US,19.7297,-155.09,81.28,93,100,3.44,moderate rain
2,Coquimbo,CL,-29.9533,-71.3436,55.13,76,100,0.0,overcast clouds
3,Babu,CN,24.4167,111.5167,92.17,57,4,2.91,clear sky
4,Rikitea,PF,-23.1203,-134.9692,74.21,79,99,23.64,light rain
5,Wilmington,US,34.2257,-77.9447,82.31,87,40,10.36,scattered clouds
6,Bambous Virieux,MU,-20.3428,57.7575,70.21,70,78,16.89,light rain
7,Port-Gentil,GA,-0.7193,8.7815,73.67,85,84,15.01,broken clouds
8,Avarua,CK,-21.2078,-159.775,75.25,73,40,18.41,scattered clouds
9,Butaritari,KI,3.0707,172.7902,81.7,75,51,6.89,broken clouds
10,Albany,US,42.6001,-73.9662,75.38,75,0,4.83,clear sky
11,Saint-Augustin,CA,51.226,-58.6502,60.48,70,98,5.06,overcast clouds
12,Madison,US,34.7334,-86.5667,81.57,81,40,9.22,scattered clouds
13,Bengkulu,ID,-3.8004,102.2655,84.09,69,88,5.44,overcast clouds
14,Pierre,US,44.3683,-100.351,83.86,43,0,11.5,clear sky
15,Tias,ES,28.9611,-13.645,69.48,88,0,27.63,clear sky
16,Kheri,IN,27.9,80.8,85.01,68,100,8.48,overcast clouds
17,Puerto Ayora,EC,-0.7393,-90.3518,67.55,98,47,1.99,scattered clouds
18,Jamestown,US,42.097,-79.2353,73.71,81,0,6.91,clear sky
19,Puerto Escondido,MX,15.85,-97.0667,83.23,65,75,4.61,broken clouds
20,Kutum,SD,14.2,24.6667,74.34,55,85,3.91,overcast clouds
21,Poum,NC,-20.2333,164.0167,77.22,84,100,21.77,overcast clouds
22,Bredasdorp,ZA,-34.5322,20.0403,46.31,79,100,4.76,overcast clouds
23,New Norfolk,AU,-42.7826,147.0587,56.7,55,7,5.75,clear sky
24,Lebu,CL,-37.6167,-73.65,52.23,95,100,13.15,heavy intensity rain
25,Ushuaia,AR,-54.8,-68.3,31.66,93,75,28.77,snow
